
      endpoint,ingressProtected,egressProtected,envoyEnabled,appliedPolicies,services
Pod.v1(hipstershop/redis-cart-78746d49dc-h9w22),true,true,false,GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(security.pci-whitelist);NetworkPolicy(hipstershop/app-hipstershop.redis-cart);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns),Service.v1(hipstershop/redis-cart)
Pod.v1(hipstershop/adservice-75656d5f44-cjldr),true,true,false,GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);NetworkPolicy(hipstershop/app-hipstershop.adservice),Service.v1(hipstershop/adservice)
Pod.v1(hipstershop/paymentservice-6f69f8b58d-b4sf9),true,true,false,GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(security.pci-whitelist);NetworkPolicy(hipstershop/app-hipstershop.paymentservice),Service.v1(hipstershop/paymentservice)
Pod.v1(hipstershop/shippingservice-55bd6c45bb-7wrfz),true,true,false,GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.shippingservice),Service.v1(hipstershop/shippingservice)
Pod.v1(hipstershop/emailservice-67b75bf988-6gnxl),true,true,false,GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.emailservice);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop),Service.v1(hipstershop/emailservice)
Pod.v1(hipstershop/multitool),true,true,false,GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass),
Pod.v1(hipstershop/cartservice-8c64564d4-s56dg),true,true,false,GlobalNetworkPolicy(default.default-deny);NetworkPolicy(hipstershop/app-hipstershop.cartservice);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass),Service.v1(hipstershop/cartservice)
Pod.v1(hipstershop/frontend-5db5d7b788-j2rw5),true,true,false,GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(hipstershop/app-hipstershop.frontend),Service.v1(hipstershop/frontend);Service.v1(hipstershop/frontend-external)
Pod.v1(hipstershop/loadgenerator-77bc9cbc96-rrn9k),true,true,false,GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.allow-loadgenerator);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns),
Pod.v1(hipstershop/currencyservice-7dc56c8-8gjm6),true,true,false,GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.currencyservice);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop),Service.v1(hipstershop/currencyservice)
