
      service,ingressProtected,envoyEnabled
Service.v1(hipstershop/frontend-external),true,false
Service.v1(hipstershop/currencyservice),true,false
Service.v1(hipstershop/paymentservice),true,false
Service.v1(hipstershop/checkoutservice),true,false
Service.v1(hipstershop/redis-cart),true,false
Service.v1(hipstershop/adservice),true,false
Service.v1(hipstershop/frontend),true,false
Service.v1(hipstershop/emailservice),true,false
Service.v1(hipstershop/recommendationservice),true,false
Service.v1(hipstershop/cartservice),true,false
Service.v1(hipstershop/productcatalogservice),true,false
Service.v1(hipstershop/shippingservice),true,false

