
      endpoint,ingressProtected,egressProtected,ingressFromInternet,egressToInternet,ingressFromOtherNamespace,egressToOtherNamespace,envoyEnabled,appliedPolicies,trafficAggregationPrefix,endpointsGeneratingTrafficToThisEndpoint,endpointsReceivingTrafficFromThisEndpoint
Pod.v1(hipstershop/currencyservice-7dc56c8-8gjm6),true,true,true,false,true,true,false,GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.currencyservice);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass),currencyservice-7dc56c8-*,Pod.v1(hipstershop/checkoutservice-5d45565464-*),
Pod.v1(hipstershop/shippingservice-55bd6c45bb-7wrfz),true,true,true,false,true,true,false,GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);NetworkPolicy(hipstershop/app-hipstershop.shippingservice);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(platform.allow-dns),shippingservice-55bd6c45bb-*,Pod.v1(hipstershop/checkoutservice-5d45565464-*),
Pod.v1(hipstershop/multitool),true,true,true,false,true,true,false,GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass),,,
Pod.v1(hipstershop/checkoutservice-5d45565464-dqxk5),true,true,true,false,true,true,false,GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(hipstershop/app-hipstershop.checkoutservice);GlobalNetworkPolicy(security.pci-whitelist),checkoutservice-5d45565464-dqxk5,,Private
Pod.v1(hipstershop/paymentservice-6f69f8b58d-b4sf9),true,true,true,false,true,true,false,GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.paymentservice),paymentservice-6f69f8b58d-*,Pod.v1(hipstershop/checkoutservice-5d45565464-*),
Pod.v1(hipstershop/productcatalogservice-67f5c88476-bq5zg),true,true,true,false,true,true,false,GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.productcatalogservice);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.security-default-pass),productcatalogservice-67f5c88476-*,Pod.v1(hipstershop/checkoutservice-5d45565464-*),
Pod.v1(hipstershop/frontend-5db5d7b788-j2rw5),true,true,true,false,true,true,false,GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.frontend);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass),frontend-5db5d7b788-j2rw5,,Private
Pod.v1(hipstershop/redis-cart-78746d49dc-h9w22),true,true,true,false,true,true,false,GlobalNetworkPolicy(security.security-default-pass);NetworkPolicy(hipstershop/app-hipstershop.redis-cart);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.pci-restrict);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-whitelist),redis-cart-78746d49dc-*,Pod.v1(hipstershop/cartservice-8c64564d4-*),
Pod.v1(hipstershop/loadgenerator-77bc9cbc96-rrn9k),true,true,true,false,true,true,false,GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.allow-loadgenerator);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(default.default-deny),,,
Pod.v1(hipstershop/recommendationservice-7ddd87dccd-4g722),true,true,true,false,true,true,false,GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.recommendationservice);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop),,,
