
      endpoint,ingressProtected,egressProtected,envoyEnabled,appliedPolicies,services
Pod.v1(tigera-compliance/compliance-snapshotter-6f9dd79956-gpbh9),true,true,false,GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(tigera-compliance/allow-tigera.default-deny);NetworkPolicy(tigera-compliance/allow-tigera.compliance-access),
Pod.v1(kube-system/kube-controller-manager-k8s-ce-c1),true,true,false,GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.pci-whitelist),Service.v1(calico-system/calico-node-metrics);Service.v1(default/kubernetes)
Pod.v1(hipstershop/productcatalogservice-67f5c88476-bq5zg),true,true,false,GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict);NetworkPolicy(hipstershop/app-hipstershop.productcatalogservice);GlobalNetworkPolicy(security.pci-whitelist),Service.v1(hipstershop/productcatalogservice)
Pod.v1(kube-system/kube-proxy-9tzqk),true,true,false,GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass),Service.v1(calico-system/calico-node-metrics);Service.v1(calico-system/calico-typha)
Pod.v1(hipstershop/adservice-75656d5f44-cjldr),true,true,false,NetworkPolicy(hipstershop/app-hipstershop.adservice);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict),Service.v1(hipstershop/adservice)
Pod.v1(tigera-system/tigera-apiserver-fc5ddcbbd-bclxk),true,true,false,GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(tigera-system/allow-tigera.cnx-apiserver-access),Service.v1(tigera-system/tigera-api)
Pod.v1(calico-system/es-calico-kube-controllers-77dc9c8865-7pljn),true,true,false,GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(calico-system/allow-tigera.es-kube-controller-access),
Pod.v1(hipstershop/frontend-5db5d7b788-j2rw5),true,true,false,NetworkPolicy(hipstershop/app-hipstershop.frontend);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.pci-restrict),Service.v1(hipstershop/frontend);Service.v1(hipstershop/frontend-external)
Pod.v1(calico-system/calico-typha-5cc5cd4dcc-b7z2q),true,true,false,GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.pci-whitelist),Service.v1(calico-system/calico-node-metrics);Service.v1(calico-system/calico-typha)
Pod.v1(tigera-eck-operator/elastic-operator-0),true,true,false,GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(tigera-eck-operator/allow-tigera.elastic-operator-access);GlobalNetworkPolicy(security.pci-whitelist),
Pod.v1(tigera-compliance/compliance-benchmarker-l8c2s),true,true,false,GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(tigera-compliance/allow-tigera.default-deny);NetworkPolicy(tigera-compliance/allow-tigera.compliance-access);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass),
Pod.v1(kube-system/kube-proxy-c8rnt),true,true,false,GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass),Service.v1(calico-system/calico-node-metrics);Service.v1(calico-system/calico-typha)
Pod.v1(tigera-compliance/compliance-benchmarker-ntmpj),true,true,false,GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(tigera-compliance/allow-tigera.default-deny);NetworkPolicy(tigera-compliance/allow-tigera.compliance-access);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny),
Pod.v1(tigera-fluentd/fluentd-node-mhz8p),true,true,false,NetworkPolicy(tigera-fluentd/allow-tigera.allow-fluentd-node);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass),
Pod.v1(tigera-manager/tigera-manager-79c477b7d4-t7nh7),true,true,false,GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(tigera-manager/allow-tigera.manager-access);NetworkPolicy(tigera-manager/allow-tigera.default-deny);GlobalNetworkPolicy(security.pci-whitelist);GlobalNetworkPolicy(security.security-default-pass),Service.v1(tigera-manager/tigera-manager)
