
      namespace,ingressProtected,egressProtected,envoyEnabled
Namespace.v1(hipstershop),true,true,false
Namespace.v1(tigera-fluentd),true,true,false
Namespace.v1(calico-system),true,true,false
Namespace.v1(tigera-operator),true,true,false
Namespace.v1(tigera-prometheus),true,true,false
Namespace.v1(kube-system),true,true,false
Namespace.v1(tigera-eck-operator),true,true,false
Namespace.v1(tigera-compliance),true,true,false
Namespace.v1(tigera-packetcapture),true,true,false
Namespace.v1(default),true,true,false
Namespace.v1(tigera-intrusion-detection),true,true,false
Namespace.v1(tigera-elasticsearch),true,true,false
Namespace.v1(tigera-kibana),true,true,false
Namespace.v1(tigera-manager),true,true,false
Namespace.v1(tigera-system),true,true,false

