
      service,ingressProtected,envoyEnabled
Service.v1(calico-system/calico-kube-controllers-metrics),true,false
Service.v1(hipstershop/cartservice),true,false
Service.v1(tigera-packetcapture/tigera-packetcapture),true,false
Service.v1(tigera-system/tigera-api),true,false
Service.v1(hipstershop/paymentservice),true,false
Service.v1(hipstershop/frontend),true,false
Service.v1(tigera-elasticsearch/tigera-secure-es-transport),true,false
Service.v1(tigera-prometheus/prometheus-http-api),true,false
Service.v1(hipstershop/currencyservice),true,false
Service.v1(hipstershop/checkoutservice),true,false
Service.v1(tigera-prometheus/alertmanager-operated),true,false
Service.v1(tigera-prometheus/calico-node-alertmanager),true,false
Service.v1(tigera-kibana/tigera-secure-kb-http),true,false
Service.v1(tigera-elasticsearch/tigera-secure-es-7f5dee596fef130f),true,false
Service.v1(hipstershop/frontend-external),true,false
Service.v1(calico-system/calico-typha),true,false
Service.v1(calico-system/calico-node-metrics),true,false
Service.v1(hipstershop/productcatalogservice),true,false
Service.v1(tigera-elasticsearch/tigera-secure-es-http),true,false
Service.v1(hipstershop/emailservice),true,false
Service.v1(tigera-elasticsearch/tigera-secure-es-gateway-http),true,false
Service.v1(tigera-manager/tigera-manager),true,false
Service.v1(default/kubernetes),true,false
Service.v1(hipstershop/recommendationservice),true,false
Service.v1(hipstershop/redis-cart),true,false
Service.v1(kube-system/kube-dns),true,false
Service.v1(hipstershop/adservice),true,false
Service.v1(tigera-elasticsearch/tigera-elasticsearch-metrics),true,false
Service.v1(hipstershop/shippingservice),true,false
Service.v1(tigera-compliance/compliance),true,false

