
      endpoint,ingressProtected,egressProtected,envoyEnabled,appliedPolicies,services
Pod.v1(hipstershop/checkoutservice-54c9f7f49f-jzh56),true,true,false,GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.global-trusted-domains);NetworkPolicy(hipstershop/app-hipstershop.checkoutservice);GlobalNetworkPolicy(default.default-deny),Service.v1(hipstershop/checkoutservice)
Pod.v1(hipstershop/currencyservice-5877b8dbcc-st4km),true,true,false,GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);NetworkPolicy(hipstershop/app-hipstershop.currencyservice);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(platform.allow-dns),Service.v1(hipstershop/currencyservice)
Pod.v1(hipstershop/emailservice-5c5448b7bc-h5kl9),true,true,false,GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(security.soc2-allowlist);NetworkPolicy(hipstershop/app-hipstershop.emailservice);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(platform.platform-default-pass),Service.v1(hipstershop/emailservice)
Pod.v1(hipstershop/adservice-8587b48c5f-hwhzq),true,true,false,GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.security-default-pass);NetworkPolicy(hipstershop/app-hipstershop.adservice);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(default.default-deny),Service.v1(hipstershop/adservice)
Pod.v1(hipstershop/paymentservice-7bc7f76c67-9smfk),true,true,false,GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.soc2-restrict);NetworkPolicy(hipstershop/app-hipstershop.paymentservice);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.global-trusted-domains),Service.v1(hipstershop/paymentservice)
Pod.v1(hipstershop/productcatalogservice-67fff7c687-vprc8),true,true,false,GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(default.default-deny);NetworkPolicy(hipstershop/app-hipstershop.productcatalogservice),Service.v1(hipstershop/productcatalogservice)
Pod.v1(hipstershop/loadgenerator-555c7c5c44-8tr7t),true,true,false,GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.soc2-restrict);NetworkPolicy(hipstershop/app-hipstershop.allow-loadgenerator);GlobalNetworkPolicy(security.security-default-pass),
Pod.v1(hipstershop/multitool),true,true,false,GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.soc2-allowlist),
Pod.v1(default/multitool),true,true,false,NetworkPolicy(default/platform.default-egress);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(default.default-deny),
Pod.v1(hipstershop/shippingservice-76b9bc7465-9nrts),true,true,false,GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);NetworkPolicy(hipstershop/app-hipstershop.shippingservice);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.soc2-restrict),Service.v1(hipstershop/shippingservice)
