
      endpoint,ingressProtected,egressProtected,ingressFromInternet,egressToInternet,ingressFromOtherNamespace,egressToOtherNamespace,envoyEnabled,appliedPolicies,trafficAggregationPrefix,endpointsGeneratingTrafficToThisEndpoint,endpointsReceivingTrafficFromThisEndpoint
Pod.v1(hipstershop/currencyservice-5877b8dbcc-st4km),false,true,true,false,true,true,false,GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.soc2-allowlist);NetworkPolicy(hipstershop/app-hipstershop.currencyservice),currencyservice-5877b8dbcc-*,Pod.v1(hipstershop/checkoutservice-54c9f7f49f-*);Pod.v1(hipstershop/frontend-67f6fdc769-*),
Pod.v1(hipstershop/adservice-8587b48c5f-hwhzq),false,true,true,false,true,true,false,GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);NetworkPolicy(hipstershop/app-hipstershop.adservice);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(security.security-default-pass),adservice-8587b48c5f-*,Pod.v1(hipstershop/frontend-67f6fdc769-*),
Pod.v1(hipstershop/productcatalogservice-67fff7c687-vprc8),false,true,true,false,true,true,false,GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny);NetworkPolicy(hipstershop/app-hipstershop.productcatalogservice);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.platform-default-pass),productcatalogservice-67fff7c687-*,Pod.v1(hipstershop/checkoutservice-54c9f7f49f-*);Pod.v1(hipstershop/frontend-67f6fdc769-*);Pod.v1(hipstershop/recommendationservice-b49f757f-*),
Pod.v1(hipstershop/cartservice-5c65c67f5d-mhr4s),false,true,true,false,true,true,false,GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);NetworkPolicy(hipstershop/app-hipstershop.cartservice);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.global-trusted-domains),cartservice-5c65c67f5d-*,Pod.v1(hipstershop/checkoutservice-54c9f7f49f-*);Pod.v1(hipstershop/frontend-67f6fdc769-*),Pod.v1(hipstershop/redis-cart-58648d854-*)
Pod.v1(hipstershop/paymentservice-7bc7f76c67-9smfk),false,true,true,false,true,true,false,GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);NetworkPolicy(hipstershop/app-hipstershop.paymentservice);GlobalNetworkPolicy(security.soc2-restrict),paymentservice-7bc7f76c67-*,Pod.v1(hipstershop/checkoutservice-54c9f7f49f-*),
Pod.v1(hipstershop/multitool),false,true,true,false,true,true,false,GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny),multitool,,Public;GlobalNetworkSet(global-trusted-domains)
Pod.v1(default/multitool),false,true,true,true,true,true,false,GlobalNetworkPolicy(security.soc2-restrict);NetworkPolicy(default/platform.default-egress);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(default.default-deny),,,
Pod.v1(hipstershop/redis-cart-58648d854-hw8rr),false,true,true,false,true,true,false,GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(security.soc2-allowlist);NetworkPolicy(hipstershop/app-hipstershop.redis-cart);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny),redis-cart-58648d854-*,Pod.v1(hipstershop/cartservice-5c65c67f5d-*),
Pod.v1(hipstershop/recommendationservice-b49f757f-kmhr4),false,true,true,false,true,true,false,GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(platform.allow-dns);NetworkPolicy(hipstershop/app-hipstershop.recommendationservice);GlobalNetworkPolicy(security.soc2-restrict),recommendationservice-b49f757f-*,Pod.v1(hipstershop/frontend-67f6fdc769-*),Pod.v1(hipstershop/productcatalogservice-67fff7c687-*)
Pod.v1(hipstershop/checkoutservice-54c9f7f49f-jzh56),false,true,true,false,true,true,false,GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.soc2-allowlist);NetworkPolicy(hipstershop/app-hipstershop.checkoutservice),checkoutservice-54c9f7f49f-*,Pod.v1(hipstershop/frontend-67f6fdc769-*),Pod.v1(hipstershop/cartservice-5c65c67f5d-*);Pod.v1(hipstershop/currencyservice-5877b8dbcc-*);Pod.v1(hipstershop/emailservice-5c5448b7bc-*);Pod.v1(hipstershop/paymentservice-7bc7f76c67-*);Pod.v1(hipstershop/productcatalogservice-67fff7c687-*);Pod.v1(hipstershop/shippingservice-76b9bc7465-*)
Pod.v1(hipstershop/shippingservice-76b9bc7465-9nrts),false,true,true,false,true,true,false,GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(default.default-deny);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(platform.platform-default-pass);NetworkPolicy(hipstershop/app-hipstershop.shippingservice);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.soc2-restrict);GlobalNetworkPolicy(security.security-default-pass),shippingservice-76b9bc7465-*,Pod.v1(hipstershop/checkoutservice-54c9f7f49f-*);Pod.v1(hipstershop/frontend-67f6fdc769-*),
Pod.v1(hipstershop/loadgenerator-555c7c5c44-8tr7t),false,true,true,false,true,true,false,GlobalNetworkPolicy(security.soc2-restrict);NetworkPolicy(hipstershop/app-hipstershop.allow-loadgenerator);GlobalNetworkPolicy(tigera-security.block-alienvault-ipthreatfeed);GlobalNetworkPolicy(platform.allow-dns);GlobalNetworkPolicy(security.global-trusted-domains);GlobalNetworkPolicy(security.security-default-pass);GlobalNetworkPolicy(platform.platform-default-pass);GlobalNetworkPolicy(platform.tenant-hipstershop);GlobalNetworkPolicy(security.soc2-allowlist);GlobalNetworkPolicy(default.default-deny),loadgenerator-555c7c5c44-*,,Pod.v1(hipstershop/frontend-67f6fdc769-*)
